iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
HRV,11.371975045434695,294.89442625524185,675.7305178584659,948.9085992212641,Croatia,0.0809907229277303,0.2,11532537325.631346,2919490383.87,Europe,0.0,0.0,0.0,0.0,2.274395009086939,23.883712769770288,0.0007790383628775857,0.0001972154908210911,0.0005557593606728196,81.92629574195422,1.5428700940524883e-05
HTI,0.5435704007371852,0.0,0.8602784648865716,-0.6366876894498251,Haiti,0.0034540811142789,0.3,,70636530.27999999,Caribbean/American isl.,0.0,0.0,0.0,0.0,0.16307112022115555,0.0,0.002308594711189084,,0.0,0.0,1.1062174933889928e-06
HUN,312.11076864540354,5239.3167807098,3012.4671948117307,7889.808582253932,Hungary,0.0895096765468724,0.19,29667015161.95101,6085173129.14,Europe,0.0,1.0,0.0,0.0,59.30104604262667,468.96955036793497,0.009745169904641237,0.001998888183354635,0.009874039945025564,1455.564357431068,0.00040227757324321937
IDN,9366.187656225282,5429.920378811083,50237.04970532934,37616.82917037433,Indonesia,-0.0283953210675186,0.25,96322093803.30489,12818747403.79,Asia,0.0,0.0,0.0,0.0,2341.5469140563205,-154.18433252740292,0.18266581283628514,0.024309551646976138,0.010233252342383736,1508.51702576672,0.015884235997196974
IMN,33.20955034113717,25.156422281141094,7.080704192047242,-91.0166245578335,Isle of Man,0.0474526896591964,0.0,,,Europe,1.0,0.0,1.0,0.0,0.0,1.1937398994426818,,,4.7409906458121576e-05,6.988848578068427,0.0
IND,8922.695430762205,0.0,25884.984580121614,15474.87147109497,India,0.2882699831023917,0.4792,255817954084.0924,21542961051.04,Asia,0.0,0.0,0.0,0.0,4275.755650421249,0.0,0.1984757638604575,0.01671405615657345,0.0,0.0,0.029005232143730592
IRL,1398.0794344976568,34011.55031593242,5111.473161609793,37488.1733878474,Ireland,0.1141547108518117,0.125,56960707298.21381,16188018282.349998,Europe,0.0,1.0,0.0,0.0,174.7599293122071,3882.5786919371103,0.010795634540563256,0.0030680786387932944,0.06409832053832534,9448.94200005554,0.0011855102895375045
IRN,35.84866485191063,0.007614839527907548,114.39728523076334,-22.003868620089765,Iran,0.1062321571176392,0.25,,16735790072.939997,Asia,0.0,0.0,0.0,0.0,8.962166212977657,0.0008089408291542841,0.000535509000406771,,1.4350960787549942e-08,0.002115521826278626,6.07962037055381e-05
IRQ,297.31155954977646,44.21602721782681,399.02536810795544,597.7601636206134,Iraq,0.3994102332953833,0.15,3464606373.5737915,4264289472.15,Asia,0.0,0.0,0.0,0.0,44.59673393246647,17.660333746467224,0.010458186345867692,0.012872092562268277,8.332972355605726e-05,12.28390569595442,0.00030252865839888146
ISL,398.2966248082074,0.0,122.68347735838049,-344.04561264018076,Iceland,0.22224636188525,0.2,7820903058.064426,1372324955.99,Europe,0.0,1.0,0.0,0.0,79.65932496164149,0.0,0.05804698414463721,0.010185438225001621,0.0,0.0,0.0005403810231058572
ISR,204.9579485095706,100.41895083007873,1547.1895751737618,2771.383582368755,Israel,0.1798429871221275,0.25,74219774796.93668,14471039929.310003,Asia,0.0,1.0,0.0,0.0,51.23948712739265,18.059644080951404,0.0035408296416632036,0.0006903751361087058,0.00018925000591382942,27.89795917228039,0.00034759077472289537
ITA,10109.240564528904,0.0,60384.616968496775,35689.11870632605,Italy,0.1593766196999299,0.3129275,470587682565.19775,121854597620.7,Europe,0.0,1.0,0.0,0.0,3163.459376756619,0.0,0.02596093572606593,0.006722359071347636,0.0,0.0,0.02145980292186414
