iso3,year,fuel,production,unit,source
YEM,2016,crude_oil_lease_condensate,18.49079180327869,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ZAF,2016,crude_oil_lease_condensate,115.5072,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ZMB,2016,crude_oil_lease_condensate,0.1278,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ZWE,2016,crude_oil_lease_condensate,0.819,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ABW,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
AFG,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
AGO,2017,crude_oil_lease_condensate,1708.3545306249114,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ALB,2017,crude_oil_lease_condensate,17.05404,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ARE,2017,crude_oil_lease_condensate,3723.6506821917806,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ARG,2017,crude_oil_lease_condensate,686.3095116093149,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ARM,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ASM,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ATA,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ATG,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
AUS,2017,crude_oil_lease_condensate,336.9518433705448,thousand_barrels_per_day,EIA_INTL_v2:productId=53
AUT,2017,crude_oil_lease_condensate,27.186649315068493,thousand_barrels_per_day,EIA_INTL_v2:productId=53
AZE,2017,crude_oil_lease_condensate,794.8208502137726,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BDI,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BEL,2017,crude_oil_lease_condensate,19.6025,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BEN,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BFA,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BGD,2017,crude_oil_lease_condensate,15.2496,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BGR,2017,crude_oil_lease_condensate,6.0457,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BHR,2017,crude_oil_lease_condensate,213.22496164383563,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BHS,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BIH,2017,crude_oil_lease_condensate,0.1942,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BLR,2017,crude_oil_lease_condensate,32.175024657534244,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BLZ,2017,crude_oil_lease_condensate,0.9896624109589041,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BMU,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BOL,2017,crude_oil_lease_condensate,78.17478123287671,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BRA,2017,crude_oil_lease_condensate,3356.2156535087224,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BRB,2017,crude_oil_lease_condensate,0.6408575342465753,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BRN,2017,crude_oil_lease_condensate,113.3402506849315,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BTN,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
BWA,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
CAF,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
CAN,2017,crude_oil_lease_condensate,4946.555156164383,thousand_barrels_per_day,EIA_INTL_v2:productId=53
CHE,2017,crude_oil_lease_condensate,1.2755,thousand_barrels_per_day,EIA_INTL_v2:productId=53
CHL,2017,crude_oil_lease_condensate,11.854534246575342,thousand_barrels_per_day,EIA_INTL_v2:productId=53
CHN,2017,crude_oil_lease_condensate,4688.222720253378,thousand_barrels_per_day,EIA_INTL_v2:productId=53
CIV,2017,crude_oil_lease_condensate,39.086376,thousand_barrels_per_day,EIA_INTL_v2:productId=53
CMR,2017,crude_oil_lease_condensate,76.32675205479451,thousand_barrels_per_day,EIA_INTL_v2:productId=53
COD,2017,crude_oil_lease_condensate,19.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
COG,2017,crude_oil_lease_condensate,252.64239007178517,thousand_barrels_per_day,EIA_INTL_v2:productId=53
COK,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
COL,2017,crude_oil_lease_condensate,884.3143851205481,thousand_barrels_per_day,EIA_INTL_v2:productId=53
COM,2017,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
