country_name,iso3,cthi_2019_value,cthi_2021_value,cthi_2024_value,cthi_2019_gsw,cthi_2021_gsw,cthi_2024_gsw,cthi_2019_score,cthi_2021_score,cthi_2024_score,cthi_2019_rank,cthi_2021_rank,cthi_2024_rank,cthi_2019_share,cthi_2021_share,cthi_2024_share,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2025_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score,fsi_2025_share,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_value
Croatia,HRV,126.99676360504262,131.2098304317517,136.7308654204846,0.0004801456925461,0.0004367328506668,0.000556125329262,54.5339824084762,55.7140599182483,54.988220816326525,48.0,53.0,55.0,0.0033433208366475,0.0029646903101231,0.0031885468399614,,,,0.0001883,0.000304017,0.0003140439512208,0.0003238540084566,,,,79.0,93.0,100.0,107.0,,,,59.275,55.075,53.125,48.7555,0.0022330587297586,,,,119.3637,112.3301275,101.912386926766,79.58916274458582
Cuba,CUB,,,,1.51070000279e-05,1.02896874108e-05,,,,,,,,,,,,,,1.67e-05,2.42e-06,,,,,,,,,,,,,,,,,,,,,,,,
Cura�ao,CUW,552.4668175310208,352.4753131524409,314.39551353811675,0.0032247529632395,0.000795175625023,0.0005859980648893,72.04477021345716,72.46070611052025,72.15749142857142,21.0,29.0,30.0,0.0145442590045223,0.0079641909605561,0.0073316644205182,,0.00129,0.0010382,1.61e-05,1.51e-05,1.90076407307e-05,3.08604794554e-05,,58.0,70.0,84.0,96.0,90.0,76.0,,76.83,67.74,74.8,74.85,76.05,78.18125862068965,0.0042055397167533,,106.41,67.8111,105.658,103.6047272,117.38350146156,149.89099054357476
Cyprus,CYP,698.0848415316822,1378.996746022333,1045.6070246759691,0.00729955667519,0.0109167361999629,0.0090658908295788,71.12914214495238,85.34487256599441,79.44694857142858,18.0,14.0,14.0,0.0183778037344254,0.0311584755286324,0.0243834262594568,0.0095209,0.26426,0.5178813,0.0054527,0.004765472,0.010504505597055,0.0080094970762729,20.0,41.0,35.0,24.0,27.0,15.0,17.0,57.67,52.4,49.82,61.25,61.075,61.525,63.6515,0.0144768437176105,406.5143262,198.9163,213.938,404.4424,383.3767089,510.050768266449,515.9738323556571
Czechia,CZE,269.6858472487216,268.8971494929787,240.853859394913,0.0023018859173414,0.0025130585560956,0.0032739186841773,58.89175803619047,58.26330409205674,54.53660571428571,31.0,37.0,39.0,0.0070997581895843,0.0060757396827536,0.0056166821580807,,,0.1049423,0.0009378,0.000885897,0.0007629656465724,0.0011367388069629,,,81.0,70.0,67.0,92.0,92.0,,,35.18,52.925,55.4,50.0,47.0475,0.0030493650904769,,,44.24571,145.1049,163.301549,114.22075002177,108.68339968821876
Denmark,DNK,226.4910865715705,294.8521429407286,197.90153539774352,0.0043995045271349,0.0044210927761417,0.0052097733062259,51.70442714561905,56.42556483980452,48.51058571428571,36.0,34.0,42.0,0.0059626115465797,0.0066621935888416,0.0046150392844764,0.0075233,0.60464,0.219033,0.0015129,0.001374197,0.0016977428458631,0.0024731054436415,49.0,66.0,83.0,61.0,97.0,80.0,106.0,39.6,32.6,30.87,52.5,45.325,48.95,39.0315,0.0022561751537286,121.6806958,63.11788,38.20438,166.1187,103.5213067,139.920728650272,80.4130626290368
Djibouti,DJI,,,,1.4562422796e-06,2.6512214228e-06,,,,,,,,,,,,,,1.47e-05,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,,,,3.8671945623e-06,7.6235445989e-06,,,,,,,,,,,1.46e-08,1.72e-05,1.12e-05,2.41e-06,2.44e-06,3.9863789424e-06,2.3959837562e-06,72.0,77.0,89.0,96.0,118.0,128.0,133.0,79.87,78.53,76.16,77.325,73.65,65.175,59.61315517241379,0.0007953662489085,12.45284756,26.94115,21.31418,62.02435,53.75459323,43.8971151015247,28.347903699232543
Dominican Republic,DOM,,,,0.0001350475083134,0.0001429350955325,,,,,,,,,,,,0.01221,,6.43e-05,7.84e-05,0.0001001859563984,0.0002415160415694,,42.0,,69.0,107.0,84.0,74.0,,73.1,,71.6,58.725,64.725,62.416,0.0042486341481282,,193.7889,,147.0888,86.68009359,125.936550498231,151.42693300060526
Ecuador,ECU,,43.09136000070203,43.94295779646762,0.0001396798137577,0.0001682720046393,0.0001852391708422,,42.73615196118458,42.55913387755103,,66.0,67.0,,0.0009736506557758,0.0010247443310594,,,,0.0002126,0.000111552,0.0001336347195319,0.0001016576425172,,,,,120.0,116.0,128.0,,,,,47.2125,52.225,44.74772413793103,0.0011732910108897,,,,,50.65986558,72.8240981066744,41.81764141176683
Egypt,EGY,,,,0.0005811755970179,0.0006267186314314,,,,,,,,,,,,,,0.0004498,0.000294548,0.000293950230116,0.000587917456869,,,,,46.0,56.0,41.0,,,,,71.375,68.25,69.7745,0.0079843921723593,,,,,241.9304224,211.380977536261,284.5742834946308
El Salvador,SLV,,,,0.0001402557355424,0.0001525054722029,,,,,,,,,,,,,,9.58e-05,0.00010216,0.0001136268692789,0.0001031715146382,,,,,85.0,97.0,87.0,,,,,64.1,60.5,64.5415,0.0035379360208147,,,,,123.1214685,107.257203854057,126.0967129919531
Equatorial Guinea,GNQ,,,,1.29342960597e-05,1.4880302488e-05,,,,,,,,,,,,,,1.54e-09,2.21e-07,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,,4.5313635214e-06,5.2485533154e-06,,,,,,,,,,,,,,6.54e-09,2.56e-07,,,,,,,,,,,,,,,,,,,,,,,,
