year,cou,own,isic,GO,flag_go,GVA,flag_gva,EXP,flag_exgr,IMP,flag_imgr
2000,AUT,F,C22,939.9122795,"e,a",372.9853081,"e,a",482.180122,"e,a",236.3438929,"e,a"
2000,AUT,F,C23,1167.969021,"e,a",506.0423872,"e,a",382.1053436,"e,a",175.5435521,"e,a"
2000,AUT,F,C24,1137.700724,"e,a",394.2788859,"e,a",719.3946561,"e,a",306.8287467,"e,a"
2000,AUT,F,C25,1236.420629,"e,a",512.7632333,"e,a",510.526756,"e,a",317.0770608,"e,a"
2000,AUT,F,C26,4766.01049,"e,a",2079.742571,"e,a",2494.013207,"e,a",1308.532407,"e,a"
2000,AUT,F,C27,1774.154765,"e,a",788.0887764,"e,a",925.9753279,"e,a",421.6469831,"e,a"
2000,AUT,F,C28,3639.830492,"e,a",1355.649828,"e,a",2436.624234,"e,a",1020.516648,"e,a"
2000,AUT,F,C29,4920.524262,"e,a",1309.669116,"e,a",3055.387258,"e,a",1858.708447,"e,a"
2000,AUT,F,C30,510.6858039,"e,a",185.6416592,"e,a",200.7670298,"e,a",149.3832747,"e,a"
2000,AUT,F,C31T33,562.5184838,"e,a",296.0347165,"e,a",231.17284,"e,a",80.53471262,"e,a"
2000,AUT,F,D35_E36T39,445.7999631,"e,a",228.6239161,e,15.83595043,e,47.75973929,e
2000,AUT,F,F41T43,731.4898275,,325.5356484,"e,a",15.30685882,"e,a",132.3038172,"e,a"
2000,AUT,F,G45T47,9239.536155,"e,a",4929.332994,"e,a",2428.842904,"e,a",928.9099619,"e,a"
2000,AUT,F,H49,148.440067,"e,a",85.88995255,"e,a",71.27096621,e,15.84887767,e
2000,AUT,F,H50,8.118390362,"e,a",1.796449735,"e,a",4.578106805,e,2.967240282,e
2000,AUT,F,H51,23.48009364,"e,a",8.723763227,"e,a",9.357241821,e,5.626298182,e
2000,AUT,F,H52,373.9780483,"e,a",218.8619108,"e,a",176.6227971,e,64.12352029,e
2000,AUT,F,H53,54.12980647,"e,a",25.27627445,"e,a",7.213583786,e,6.009457767,e
2000,AUT,F,I55T56,586.5401906,,337.6449984,"e,a",84.09147185,"e,a",34.48219875,"e,a"
2000,AUT,F,J58T60,283.0099329,"e,a",130.6895704,"e,a",41.5351367,"e,a",28.24865306,"e,a"
2000,AUT,F,J61,1056.039131,"e,a",422.1469794,"e,a",87.94607221,"e,a",204.2100947,"e,a"
2000,AUT,F,J62T63,647.1469023,,338.0166952,"e,a",35.28254524,"e,a",43.32585749,"e,a"
2000,AUT,F,K64T66,1239.519719,,727.7880971,e,179.1718343,e,72.528521,e
2000,AUT,F,L68,310.7796211,,231.4223382,"e,a",16.59301455,"e,a",9.247844517,"e,a"
2000,AUT,F,M69T75,1320.489004,a,601.7288315,"e,a",181.7315726,"e,a",89.50287798,"e,a"
2000,AUT,F,N77T82,801.9121631,a,522.4412093,"e,a",72.79557803,"e,a",40.43451991,"e,a"
2000,AUT,F,O84,0,,0,,0,,0,
2000,AUT,F,P85,23.88997683,"e,a",20.97695622,e,0.022958822,e,0.487371927,e
2000,AUT,F,Q86T88,81.04995183,"e,a",55.03006203,e,1.090660328,e,5.973888024,e
2000,AUT,F,R90T93,145.2099451,"e,a",98.58122834,e,23.84070703,e,6.519285664,e
2000,AUT,F,S94T96,301.7794315,"e,a",184.6770793,e,13.93508974,e,18.71429965,e
2000,AUT,F,T97T98,0,,0,,0,,0,
2000,BEL,D,A01T03,6803.863225,"e,a",2927.549441,e,757.2686338,e,1160.097878,e
2000,BEL,D,B05T09,399.6245607,"e,a",189.3116401,e,26.41356986,e,58.54876357,e
2000,BEL,D,C10T12,15390.18975,"e,a",3854.897174,"e,a",4391.323642,"e,a",2439.704503,"e,a"
2000,BEL,D,C13T15,6811.457314,"e,a",1870.042522,e,2709.396914,e,1614.215607,e
2000,BEL,D,C16,1707.563921,"e,a",517.2817337,"e,a",355.2364321,"e,a",233.3468757,"e,a"
2000,BEL,D,C17T18,5720.610175,"e,a",2160.683073,"e,a",800.9430742,"e,a",889.5613162,"e,a"
2000,BEL,D,C19,9593.179205,"e,a",1319.266749,"e,a",3070.686869,"e,a",4498.735798,"e,a"
