iso3,year,fsi_indicator_si01,fsi_indicator_si02,fsi_indicator_si03,fsi_indicator_si04,fsi_indicator_si05,fsi_indicator_si06,fsi_indicator_si07,fsi_indicator_si08,fsi_indicator_si09,fsi_indicator_si10,fsi_indicator_si11,fsi_indicator_si12,fsi_indicator_si13,fsi_indicator_si14,fsi_indicator_si15,fsi_indicator_si16,fsi_indicator_si17,fsi_indicator_si18,fsi_indicator_si19,fsi_indicator_si20
MAC,2025,30.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,30.0,0.0,36.76,49.22413793103448,0.0,55.5
MAR,2025,57.0,75.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,100.0,40.0,100.0,44.61,75.0,0.0,32.0
MCO,2025,57.0,100.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,100.0,44.28,7.758620689655174,0.0,59.5
MDV,2025,100.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,75.0,100.0,60.0,0.0,45.49,46.206896551724135,0.0,53.5
MEX,2025,51.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,65.0,0.0,0.0,10.0,95.0,18.95,33.44827586206897,0.0,33.5
MHL,2025,23.0,75.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,70.0,0.0,43.63,60.25862068965517,0.0,59.5
MKD,2025,27.0,50.0,100.0,50.0,0.0,80.0,75.0,20.0,100.0,100.0,100.0,80.0,75.0,40.0,40.0,100.0,21.9,100.0,0.0,32.0
MLT,2025,34.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,65.0,75.0,100.0,40.0,100.0,41.67,0.0,0.0,28.0
MNE,2025,63.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0,50.0,0.0,50.49,95.0,0.0,50.0
MSR,2025,53.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,0.0,41.34,75.6896551724138,0.0,74.0
MUS,2025,34.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,75.0,100.0,40.0,80.0,14.05,26.293103448275865,0.0,12.0
MYS,2025,37.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,37.5,100.0,20.0,100.0,38.07,1.724137931034484,0.0,59.5
NAM,2025,61.0,50.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,80.0,37.5,100.0,40.0,100.0,45.92,100.0,0.0,21.5
