# Canonical GDP: World Bank WDI indicator NY.GDP.MKTP.CD (GDP, current US$),
# all reporting countries, 2016-2022. Fetched 2026-07-19 from
# https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD . WB aggregate
# rows dropped (iso3 filtered against pycountry). SINGLE canonical GDP for the repo
# (CbCR pipeline + extractive WB-GDP reference). Refresh: re-run src/_fetch_canonical_gdp.py.
iso3,year,gdp_current_usd
MDG,2018,13760033282.2925
MDG,2019,14104664678.5063
MDG,2020,13051441204.053
MDG,2021,14354731964.3258
MDG,2022,15342178598.2475
MDV,2016,4409942623.85538
MDV,2017,4816426256.52914
MDV,2018,5404344162.69888
MDV,2019,5726094799.37709
MDV,2020,3712604583.36665
MDV,2021,5252457369.55218
MDV,2022,6177123352.26211
MEX,2016,1112233497452.7
MEX,2017,1190721475853.16
MEX,2018,1256300182983.65
MEX,2019,1304106204006.27
MEX,2020,1121064767168.8
MEX,2021,1316569466833.94
MEX,2022,1466934724243.38
MHL,2016,201800000
MHL,2017,213700000
MHL,2018,220000000
MHL,2019,232900000
MHL,2020,241800000
MHL,2021,261245500
MHL,2022,258723500
MKD,2016,10672467073.2873
MKD,2017,11307067069.6658
MKD,2018,12683068114.2388
MKD,2019,12606338448.547
MKD,2020,12361036913.8409
MKD,2021,14000283827.0154
MKD,2022,13932436550.0883
MLI,2016,16743796799.8329
MLI,2017,18308362040.0521
MLI,2018,20368015381.2413
MLI,2019,20477421884.5414
MLI,2020,20698560938.7775
MLI,2021,22999245262.6719
MLI,2022,22539987718.7642
MLT,2016,12025777078.0922
MLT,2017,14161374599.3379
MLT,2018,16153785816.8181
MLT,2019,16337788880.578
MLT,2020,16404655807.6687
